FY,UIC,PARENTUIC,SIMPLENAME,DRRSANAME,CMDCNTRL,ADMINCNTRL,REGIONNAME,FEMACLASS,UICTYPE,DOCTYPE,CMD,COMPO,UTC,SRC2,SRC5,SRC9,LOCNM,CITY,STATE,COUNTRY,STACO,TPSN,BRANCH,DP99,UICPATH,NAMEPATH,DOWNLOADDATE,VALIDPATH
2027,W79FAA,W7P4FF,104 TrpCmd,W79F 104TH TRP CMD,VI,VI,Territory,V,PARENT,TDA,NG,2,LTDAU,,,,KINGSHILL (CITY),KINGSHILL,VI,USA,VI851,8H800, ,GFOA,>ARNG>W7P4FF>W79FAA,>ARNG>U.S. Virgin Islands Army National Guard>104th Troop Command,13-Apr-2026,Yes
2027,WP30AA,W79FAA,51 PAD,0051 PI DET    PUBLIC AFFAIRS,VI,VI,Territory,V,PARENT,MTOE,NG,2,LNTXQ,45,45503,45503KB00,KINGSHILL (CITY),KINGSHILL,VI,USA,VI851,34502,PI,OFGA,>ARNG>W7P4FF>W79FAA>WP30AA,>ARNG>U.S. Virgin Islands Army National Guard>104th Troop Command>51st Public Affairs Detachment,13-Apr-2026,Yes
2027,WTQCAA,W79FAA,661 MP Co,0661 MP DET    MP LAW ENFORCEM,VI,VI,Territory,V,PARENT,MTOE,NG,2,QSJFF,19,19713,19713K000,KINGSHILL (CITY),KINGSHILL,VI,USA,VI851,31905,MP,OFGA,>ARNG>W7P4FF>W79FAA>WTQCAA,>ARNG>U.S. Virgin Islands Army National Guard>104th Troop Command>661st Military Police Company,13-Apr-2026,Yes
2027,W7LUAA,W7P4FF,23 CST,W7LU 23 CIVIL SPT TM  VIARNG,VI,VI,Territory,V,PARENT,TDA,NG,2,XTDAU,,,,HAMS BLUFF TRAINING FACILITY,FREDERIKSTED,VI,VIRGIN ISLANDS (US),VI71P,7S300, ,OFDS,>ARNG>W7P4FF>W7LUAA,>ARNG>U.S. Virgin Islands Army National Guard>23rd Civil Support Team,13-Apr-2026,Yes
2027,W7P4AA,W7P4FF,ArmyJFHQVI,"W7P4 VIARNG ELEMENT, JF HQ",VI,VI,Territory,V,PARENT,TDA,NG,2,LTDAU,,,,ST CROIX (CITY),SAINT CROIX,VI,VIRGIN ISLANDS (US),VI715,8H800, ,GFCC,>ARNG>W7P4FF>W7P4AA,>ARNG>U.S. Virgin Islands Army National Guard>Army Element Joint Force Headquarters,13-Apr-2026,Yes
2027,W8C0AA,W7P4FF,MD Readiness Det VI,W8C0 VI ARNG MED DET,VI,VI,Territory,V,PARENT,TDA,NG,2,LTDAU,,,,HAMS BLUFF TRAINING FACILITY,FREDERIKSTED,VI,VIRGIN ISLANDS (US),VI71P,8M800, ,GFCC,>ARNG>W7P4FF>W8C0AA,>ARNG>U.S. Virgin Islands Army National Guard>Virgin Islands Medical Readiness Detachment ,13-Apr-2026,Yes
2027,W8GTAA,W7P4FF,210Rgt-RTI,W8GT HQ 210TH REGT (RTI),VI,VI,Territory,V,PARENT,TDA,NG,2,LTDAU,,,,KINGSHILL (CITY),KINGSHILL,VI,USA,VI851,8T400, ,GFCC,>ARNG>W7P4FF>W8GTAA,>ARNG>U.S. Virgin Islands Army National Guard>210th Regiment-Regional Training Institute,13-Apr-2026,Yes
2027,W8RCAA,W7P4FF,AASF 1,W8RC VIARNG AAOF 1,VI,VI,Territory,V,PARENT,TDA,NG,2,4TDAU,,,,BLAIR HANGAR AAOF,KINGSHILL,VI,VIRGIN ISLANDS (US),VI71R,8Y100, ,GFCC,>ARNG>W7P4FF>W8RCAA,>ARNG>U.S. Virgin Islands Army National Guard>Army Aviation Support Facility 1 Virgin Islands,13-Apr-2026,Yes
2027,W8T5AA,W7P4FF,FMS VI,W8T5 VI ARNG FMS,VI,VI,Territory,V,PARENT,TDA,NG,2,4TDAU,,,,KINGSHILL (CITY),KINGSHILL,VI,USA,VI851,8Y100, ,GFCC,>ARNG>W7P4FF>W8T5AA,>ARNG>U.S. Virgin Islands Army National Guard>Field Maintenance Shop Virgin Islands,13-Apr-2026,Yes
2027,W8XSAA,W7P4FF,CSMS 1 VI,W8XS VI ARNG CSMS 1,VI,VI,Territory,V,PARENT,TDA,NG,2,4TDAU,,,,KINGSHILL (CITY),KINGSHILL,VI,USA,VI851,8Y100, ,GFCC,>ARNG>W7P4FF>W8XSAA,>ARNG>U.S. Virgin Islands Army National Guard>Combined Support Maintenance Shop 1 Virgin Islands,13-Apr-2026,Yes
2027,W91HAA,W7P4FF,Rec&RetVI,W91H VIRGIN ISLANDS REC & RET,VI,VI,Territory,V,PARENT,TDA,NG,2,LTDAU,,,,KINGSHILL (CITY),KINGSHILL,VI,USA,VI851,8R300, ,GFCC,>ARNG>W7P4FF>W91HAA,>ARNG>U.S. Virgin Islands Army National Guard>Recruiting and Retention Battalion Virgin Islands,13-Apr-2026,Yes
2027,W93SAA,W7P4FF,JFHQJnt VI,W93S  NG     ARMY ELE JFHQ VI,VI,VI,Territory,V,PARENT,TDA,JG,2,LTDAU,,,,LTC LIONEL A JACKSON READINESS CENTER/CSMS/FMS1/210 RTI,KINGSHILL,VI,VIRGIN ISLANDS (US),VI71V,8H800, ,GFCC,>ARNG>W7P4FF>W93SAA,>ARNG>U.S. Virgin Islands Army National Guard>Joint Element Joint Force Headquarters,13-Apr-2026,Yes
2027,WY38AA,W7P4FF,HHC786SpBn,0786 CS HHC    HHC COMBAT SUST,VI,VI,Territory,V,PARENT,MTOE,NG,2,NKBHE,63,63426,63426K000,SFC LEONARD B FRANCIS READINESS CENTER/FMS 02,SAINT THOMAS,VI,VIRGIN ISLANDS (US),VI71U,36301,CS,OFGA,>ARNG>W7P4FF>WY38AA,>ARNG>U.S. Virgin Islands Army National Guard>Headquarters and Headquarters Company 786th Support Battalion,13-Apr-2026,Yes
2027,WPH0AA,WY38AA,631 EN Det,0631 EN DET    ENGINEER UTILIT,VI,VI,Territory,V,PARENT,MTOE,NG,2,473RQ,05,05413,05413K000,ST THOMAS (CITY),CHARLOTTE AMALIE,VI,VIRGIN ISLANDS (US),VI759,30503,EN,OFGA,>ARNG>W7P4FF>WY38AA>WPH0AA,>ARNG>U.S. Virgin Islands Army National Guard>Headquarters and Headquarters Company 786th Support Battalion>631st Engineer Detachment,13-Apr-2026,Yes
